FARMACOS;DETENTOR;MEDICAMENTO;CONCENTRACAO;FORMA_FARMACEUTICA
Brimonidina (tartarato);Allergan;ALPHAgAN - P;1,5mg/mL;solç oft
Brinzolamida;Alcon;AZOPT;10mg/mL;susp oft
Bromazepam;Roche;LEXOTAN;2,5mg/mL;solç or
Bromazepam;Roche;LEXOTAN;3,0mg;comp
Bromazepam;Roche;LEXOTAN;6,0mg;comp
Bromexina (cloridrato);Boehringer Ingelheim;BISOLVON;0,8mg/mL;xpe (infantil)
Bromexina (cloridrato);Boehringer Ingelheim;BISOLVON;1,6mg/mL;xpe (adulto)
Bromexina (cloridrato);Boehringer Ingelheim;BISOLVON;2,0mg/mL;solç or
Bromocriptina (mesilato);Novartis Biociências;PARLODEL;2,5mg;caps gelat dura sro
Bromocriptina (mesilato);Novartis Biociências;PARLODEL;2,5mg;comp
Bromocriptina (mesilato);Novartis Biociências;PARLODEL;5,0mg;caps gelat dura sro
Bromoprida;Libbs;PLAMET;10mg;comp
Bromoprida;Sanofi-Aventis;DIgESAN;10mg;caps gelat dura 
Bromoprida;Sanofi-Aventis;DIgESAN;1mg/mL;solç or
Bromoprida;Sanofi-Aventis;DIgESAN;4,0mg/mL;solç or (gotas)
Bromoprida;Sanofi-Aventis;DIgESAN;5,0mg/mL;solç inj
Bromoprida;Sanofi-Aventis;DIgESAN retard;20mg;caps gelat dura microgran
Budesonida;Astrazeneca;BUDECORT AQUA;32mcg/dose;susp aq nas
Budesonida;Astrazeneca;BUDECORT AQUA;64mcg/dose;susp aq nas
Budesonida;Astrazeneca;PULMICORT;0,25mg/mL;susp nebul
Budesonida;Astrazeneca;PULMICORT;0,5mg/mL;susp nebul
Budesonida;Biosintética;BUSONID;100mcg/dose;susp aq nas
Budesonida;Biosintética;BUSONID;200mcg;caps gelat dura po inal 
Budesonida;Biosintética;BUSONID;200mcg/dose;aeros or
Budesonida;Biosintética;BUSONID;400mcg;caps gelat dura po inal 
Budesonida;Biosintética;BUSONID;50mcg/dose;aeros or
Budesonida;Biosintética;BUSONID;50mcg/dose;aeros nas
Buflomedil (cloridrato);Abbott;BUFEDIL;150mg;comp rev
Buflomedil (cloridrato);Abbott;BUFEDIL;300mg;comp rev
