FARMACOS;DETENTOR;MEDICAMENTO;CONCENTRACAO;FORMA_FARMACEUTICA
Fosinopril sódico;Bristol Myers Squibb;MONOPRIL;20mg;comp
Fotemustina;Servier;MUPHORAN;50mg/mL;po solç inj
Fulvestranto;Astrazeneca;FASLODEX;50mg/mL;solç inj
Furazolidona;UCI Farma;gIARLAM;10mg/mL;susp or
Furazolidona;UCI Farma;gIARLAM;200mg;comp
Furosemida;Sanofi-Aventis;LASIX;10mg/mL;solç inj
Furosemida;Sanofi-Aventis;LASIX;40mg;comp
Fusídico, ácido;Roche;VERUTEX;20mg/g;crem derm
gabapentina;Pfizer;NEURONTIN;300mg;caps gelat dura
gabapentina;Pfizer;NEURONTIN;400mg;caps gelat dura
gabapentina;Pfizer;NEURONTIN;600mg;comp rev
gadopentetato dimegluminico;Schering do Brasil;MAgNEVISTAN;469mg/mL;solç inj
galantamina (hidrobrometo);Janssen Cilag;REMINYL;12mg;comp rev
galantamina (hidrobrometo);Janssen Cilag;REMINYL;4mg;comp rev
galantamina (hidrobrometo);Janssen Cilag;REMINYL;8mg;comp rev
galantamina (hidrobrometo);Janssen Cilag;REMINYL ER;8mg;caps gelat dura lib prolong
galantamina (hidrobrometo);Janssen Cilag;REMINYL ER;16mg;caps gelat dura lib prolong
galantamina (hidrobrometo);Janssen Cilag;REMINYL ER;24mg;caps gelat dura lib prolong
ganciclovir sódico;Roche;CYMEVENE;500mg;po liof solç inj
gatifloxacino;Allergan;ZYMAR;3mg/mL;solç oft
gencitabina (cloridrato);Eli Lilly;gEMZAR;1g;po liof solç inj
gencitabina (cloridrato);Eli Lilly;gEMZAR;200mg;po liof solç inj
genfibrozila;Pfizer;LOPID;600mg;comp rev
genfibrozila;Pfizer;LOPID;900mg;comp rev
gentamicina (sulfato);Merck S/A;SEPTOPAL;7,5mg;pérola n-gelat lib lenta 
gentamicina (sulfato);Mantecorp;gARAMICINA;10mg/mL;solç inj
gentamicina (sulfato);Mantecorp;gARAMICINA;140mg/mL;solç inj
gentamicina (sulfato);Mantecorp;gARAMICINA;1mg/g;crem derm
gentamicina (sulfato);Mantecorp;gARAMICINA;20mg/mL;solç inj
gentamicina (sulfato);Mantecorp;gARAMICINA;40mg/mL;solç inj
gentamicina (sulfato);Mantecorp;gARAMICINA;80mg/mL;solç inj
gestrinona;Sanofi-Aventis;DimETROSE;2,5mg;caps gelat
glibenclamina;Sanofi-Aventis;DAONIL;5,0mg;comp
gliclazida;Servier;DIAMICRON MR;30mg;comp lib modif
gliclazida;Arrow;EROWgLIZ;80mg;comp
glicosamina (sulfato);Zodiac;DINAFLEX;1,5g;po solç or
glimepirida;Sanofi-Aventis;AMARYL;1mg;comp
glimepirida;Sanofi-Aventis;AMARYL;2mg;comp
glimepirida;Sanofi-Aventis;AMARYL;4mg;comp
glipizida;Pfizer;MINIDIAB;5mg;comp
gosserrelina (acetato);Astrazeneca;ZOLADEX;3,6mg;depot 
gosserrelina (acetato);Astrazeneca;ZOLADEX LA;10,8mg;depot
granisetrona (cloridrato);Roche;KYTRIL;1mg;comp rev
granisetrona (cloridrato);Roche;KYTRIL;1mg/mL;solç inj
griseofulvina ultrafina;Mantecorp;SPOROSTATIN;500mg;comp
guaifenesina;Aché;TRANSPULMIN XAROPE INFANTIL;6,667mg/mL;xpe
guaifenesina;Procter & gamble;XAROPE VICK;13,3mg/mL;xpe
guaifenesina;Procter & gamble;XAROPE VICK MEL;16mg/mL;xpe
Haloperidol;Janssen Cilag;HALDOL;1mg;comp
Haloperidol;Janssen Cilag;HALDOL;2mg/mL;solç or
Haloperidol;Janssen Cilag;HALDOL;5,0mg;comp
Haloperidol;Janssen Cilag;HALDOL;5,0mg/mL;solç inj
Haloperidol (decanoato);Janssen Cilag;HALDOL DECANOATO;50 mg/mL;solç inj
Halotano;Cristália;TANOHALO;1mL/mL;inal
Hidralazina (cloridrato);Novartis Biociências;APRESOLINA;25mg;drag
Hidralazina (cloridrato);Novartis Biociências;APRESOLINA;50mg;drag
Hidroclorotiazida;Sanofi-Aventis;CLORANA;25mg;comp
Hidroclorotiazida;Sanofi-Aventis;CLORANA;50mg;comp
Hidrocortisona;Stiefel;STIEFCORTIL;10mg/g;crem derm
Hidrocortisona;Stiefel;STIEFCORTIL;10mg/g;pomd
Hidrocortisona;Stiefel;STIEFCORTIL;10mg/mL;solç capilar
Hidrocortisona (acetato);Intendis;BERLISON;10mg/g;crem derm
Hidrocortisona (acetato);Intendis;BERLISON;10mg/g;pomd derm
Hidrocortisona (butirato);Eurofarma;LOCOID;1mg/g;crem
Hidrocortisona (butirato);Eurofarma;LOCOID;1mg/g;emul
Hidrocortisona (succinato sódico);União Química;CORTISONAL;100mg;po liof inj
Hidrocortisona (succinato sódico);União Química;CORTISONAL;500mg;po liof inj
Hidroquinona;Stiefel;CLARIPEL;40mg/g;crem derm
Hidroquinona;Stiefel;CLARIPEL ACQUAgEL;40mg/g;gel dermat
Hidroxicloroquina (sulfato);Sanofi-Aventis;PLAQUINOL;400mg;comp rev
Hidroxiuréia;Bristol Myers Squibb;HYDREA;500mg;caps gelat dura
Hidroxizina (cloridrato);Darrow;PRURIZIN;10mg;comp
Hidroxizina (cloridrato);Darrow;PRURIZIN;10mg/5mL;solç or
Hidroxizina (cloridrato);Darrow;PRURIZIN;25mg;comp
Ibandrônico, ácido;Roche;BONVivA;150mg;comp rev
Ibuprofeno;Abbott;DALSY;400mg;comp rev
Ibuprofeno;Boehringer Ingelheim;BUSCOFEM;400mg;caps gelat mole
Ibuprofeno;Farmasa;ARTRIL;300mg;comp rev
Ibuprofeno;Pharmacia;MOTRim;600mg;comp rev
Ibuprofeno;Mantecorp;ALivIUM;50mg/mL;susp or
Ibuprofeno;Mantecorp;ALivIUM;100mg/mL;susp or
Ibuprofeno;Wyeth;ADVIL;200mg;comp rev
Ibuprofeno;Abbott;DALSY;20mg/mL;susp or
Idarrubicina (cloridrato);Pfizer;ZAVEDOS;10mg;po liof inj
Idarrubicina (cloridrato);Pfizer;ZAVEDOS;25mg;caps gelat dura
Idarrubicina (cloridrato);Pfizer;ZAVEDOS;5mg;po liof inj
Idarrubicina (cloridrato);Pfizer;ZAVEDOS;5mg;caps gelat dura
Ifosfamida;Asta Médica;HOLOXANE;1000mg;po prep extemp
Ifosfamida;Asta Médica;HOLOXANE;2000mg;po prep extemp
Ifosfamida;Asta Médica;HOLOXANE;500mg;po prep extemp
imatinib (mesilato);Novartis Biociências;gLivEC;100mg;comp rev
imatinib (mesilato);Novartis Biociências;gLivEC;400mg;comp rev
imipramina (cloridrato);Novartis Biociências;TOFRANIL;10mg;drag
imipramina (cloridrato);Novartis Biociências;TOFRANIL;25mg;drag
imipramina (embonato);Novartis Biociências;TOFRANIL PAMOATO;150mg;caps gelat dura
imipramina (embonato);Novartis Biociências;TOFRANIL PAMOATO;75mg;caps gelat dura
imiquimod;Intendis;ALDARA;50mg/g;crem derm
Indapamida;Servier;NATRILIX;2,5mg;drag
Indapamida;Servier;NATRILIX SR;1,5mg;comp rev
Indinavir (sulfato);Merck Sharp & Dohme;CRIXivAN;200mg;caps gelat dura
Indinavir (sulfato);Merck Sharp & Dohme;CRIXivAN;400mg;caps gelat dura
Indometacina;Merck Sharp & Dohme;INDOCID;100mg;sups retal
Indometacina;Merck Sharp & Dohme;INDOCID;25mg;caps gelat dura
Indometacina;Merck Sharp & Dohme;INDOCID;50mg;caps gelat dura
Iodixanol;Lab. Americano de Farmacoterapia;VISIPAQUE;270 mg /mL;solç inj
Iodixanol;Lab. Americano de Farmacoterapia;VISIPAQUE;320 mg /mL;solç inj
Iodopovidona;glicolabor;LABORIODINE;100mg/mL (10%);solç top
Iodopovidona;glicolabor;LABORIODINE DEgERMANTE;100mg/mL (10%);solç top
Iodopovidona / Iodopolivinilpirrolidona;Hypermarcas;CURATiv;10 mg/mL (1%);solç top
Iopamidol;Schering do Brasil;IOPAMIRON;612mg/mL;solç inj
Iopamidol;Schering do Brasil;IOPAMIRON;755mg/mL;solç inj
Iopramida;Schering do Brasil;ULTRAVIST;498,72mg/mL;solç inj
Iopramida;Schering do Brasil;ULTRAVIST;623,40mg/mL;solç inj
Iopramida;Schering do Brasil;ULTRAVIST;768,86mg/mL;solç inj
Ipatrópio (brometo);Boehringer Ingelheim;ATROVENT;0,020mg/dose;aeros or
Ipatrópio (brometo);Boehringer Ingelheim;ATROVENT;0,25mg/mL;solç inal
Ipatrópio (brometo);Boehringer Ingelheim;ATROVENT NASAL;0,3mg/mL;solç nas (spr)
Irbesartana;Sanofi-Aventis;APROVEL;150mg;comp
Irbesartana;Sanofi-Aventis;APROVEL;300mg;comp
Irinotecana (cloridrato);Pfizer;CAMPTOSAR;20mg/mL;solç inj
Isoconazol (nitrato);Schering do Brasil;gYNO-ICADEN;10mg/g;crem vaginal
Isoconazol (nitrato);Schering do Brasil;gYNO-ICADEN;600mg;ovul 
Isoconazol (nitrato);Schering do Brasil;ICADEN;10mg/g;crem derm
Isoconazol (nitrato);Schering do Brasil;ICADEN;10mg/mL;solç top 
Isoflurano;Abbott;FORANE;1mL/mL;solç inal
Isoniazida;Furp;FURP-ISONIAZIDA;100mg;comp 
Isossorbida (dinitrato);Sigma Pharma;ISORDIL;10mg;comp
Isossorbida (dinitrato);Sigma Pharma;ISORDIL;2,5mg;comp sublingual
Isossorbida (dinitrato);Sigma Pharma;ISORDIL;40mg;caps gelat dura ação prolong
Isossorbida (dinitrato);Sigma Pharma;ISORDIL;5,0mg;comp
Isossorbida (dinitrato);Sigma Pharma;ISORDIL;5,0mg;comp sublingual
Isossorbida (mononitrato);Baldacci;MONOCORDIL;10mg/mL;solç inj
Isossorbida (mononitrato);Baldacci;MONOCORDIL;20mg;comp
Isossorbida (mononitrato);Baldacci;MONOCORDIL;40mg;comp
Isossorbida (mononitrato);Baldacci;MONOCORDIL;5,0mg;comp sublingual
Isossorbida (mononitrato);Baldacci;MONOCORDIL;50mg;caps gelat dura + microgran ação prolong
Isotretinoína;Roche;ROACUTAN;10mg;caps gelat mole
Isotretinoína;Roche;ROACUTAN;20mg;caps gelat mole
Isotretinoína;Stiefel;ISOTREX;0,5mg/g;gel
Isotretinoína;Stiefel;ISOTREX;0,5mg/g;crem derm
Isradipina;Novartis Biociências;LOMIR;2,5 mg;comp
Isradipina;Novartis Biociências;LOMIR;5 mg;caps gelat dura sro
Itraconazol;Janssen Cilag;SPORANOX;100mg;caps gelat dura
ivermectina;Solvay Farma;REVECTINA;6,0mg;comp
Lacidipina;glaxosmithkline;LACIPIL;4mg;comp rev
Lactulose;Sankyo Pharma;LACTULONA;667mg/mL;xpe
Lamivudina;glaxosmithkline;EPivIR;10mg/mL;solç or
Lamivudina;Lafepe;LAFEPE-LAMivUDINA;10mg/mL;solç or
Lamivudina;glaxosmithkline;EPivIR;150mg;comp rev
Lamotrigina;glaxosmithkline;LAMICTAL;50mg;comp
Lamotrigina;glaxosmithkline;LAMICTAL;100mg;comp
Lamotrigina;glaxosmithkline;LAMICTAL;25mg;comp
Lansoprazol;Medley;PRAZOL;15mg;caps gelat dura lib retard
Lansoprazol;Medley;PRAZOL;30mg;caps gelat dura lib retard
Latanoprost;Pfizer;XALATAN;50mcg/mL;solç oft
Leflunomida;Sanofi-Aventis;ARAVA;100mg;comp rev
Leflunomida;Sanofi-Aventis;ARAVA;20mg;comp rev
Lercanidipino (cloridrato);Medley;ZANIDIP;20mg;comp rev
Letrozol;Novartis Biociências;FEMARA;2,5mg;comp rev
Leuprorrelina (acetato);Abbott;LUPRON;5,0mg/mL;solç inj
Leuprorrelina (acetato);Abbott;LUPRON depot;11,25mg;po liof solç inj
Leuprorrelina (acetato);Abbott;LUPRON depot;22,5mg;po liof solç inj
Leuprorrelina (acetato);Abbott;LUPRON depot;3,75mg;po liof solç inj
Leuprorrelina (acetato);Abbott;LUPRON depot;7,5mg;po liof solç inj
Levamisol (cloridrato);Janssen Cilag;ASCARIDIL;80mg;comp
Levobunolol (cloridrato);Allergan;BETAgAN;5mg/mL;solç oft
Levocetirizina (dicloridrato);Farmalab;ZYXEM;5,0mg;comp rev
Levofloxacino;Janssen Cilag;LEVAQUIN;5,0mg/mL;solç inj infus diluida glicose
Levofloxacino;Sandoz;LEVOFLOXACINO gENÉRICO;250mg;comp rev
Levofloxacino;Sanofi-Aventis;TAVANIC;500mg;comp rev
Levofloxacino hemiidratado;Janssen Cilag;LEVAQUim;5,0mg/mL;solç inj
Levomepromazina (cloridrato);Sanofi-Aventis;NEOZINE;40mg/mL;solç or
Levomepromazina (cloridrato);Sanofi-Aventis;NEOZINE;5mg/mL;solç inj
Levomepromazina (maleato);Sanofi-Aventis;NEOZINE;100mg;comp rev
Levomepromazina (maleato);Sanofi-Aventis;NEOZINE;25mg;comp rev
Levonorgestrel;Aché;POSTINOR;0,75mg;comp
Levonorgestrel;Aché;POSTINOR UNO;1,5mg;comp
Levonorgestrel;Schering do Brasil;MIRENA;52mg;sistema intrauterino
Levotiroxina sódica;Sanofi-Aventis;PURAN T4;100mcg;comp
Levotiroxina sódica;Sanofi-Aventis;PURAN T4;112mcg;comp
Levotiroxina sódica;Sanofi-Aventis;PURAN T4;125mcg;comp
Levotiroxina sódica;Sanofi-Aventis;PURAN T4;150mcg;comp
Levotiroxina sódica;Sanofi-Aventis;PURAN T4;175mcg;comp
Levotiroxina sódica;Sanofi-Aventis;PURAN T4;200mcg;comp
Levotiroxina sódica;Sanofi-Aventis;PURAN T4;25mcg;comp
Levotiroxina sódica;Sanofi-Aventis;PURAN T4;50mcg;comp
Levotiroxina sódica;Sanofi-Aventis;PURAN T4;75mcg;comp
Levotiroxina sódica;Sanofi-Aventis;PURAN T4;88mcg;comp
Lidocaína;Astrazeneca;XYLOCAÍNA pomd;50mg/g;pomd derm
Lidocaína;Astrazeneca;XYLOCAÍNA spr;100mg/mL;solç top
Lidocaína;Biosintética;DERMOMAX;40mg/g;crem derm
Lidocaína (cloridrato);Astrazeneca;XYLOCAÍNA gELÉIA;20mg/mL;gelÉIA top
Lidocaína (cloridrato);Cristália;XYLESTESIN SEM VASOCONSTRITOR;10mg/mL;solç inj
Lidocaína (cloridrato);Cristália;XYLESTESIN SEM VASOCONSTRITOR;20mg/mL;solç inj
Limeciclina;galderma;TETRALYSAL;150mg;caps gelat dura
Limeciclina;galderma;TETRALYSAL;300mg;caps gelat dura
Lincomicina (cloridrato);Pfizer;FRADEMICINA;300mg/mL;solç inj
Lincomicina (cloridrato);Pfizer;FRADEMICINA;500mg;caps gelat dura
Linestrenol;Organon;EXLUTON;0,5mg;comp
Linezolida;Pharmacia;ZYVOX;20mg/mL;gran PARA susp or
Linezolida;Pharmacia;ZYVOX;2mg/mL;solç infus endovenosa
Linezolida;Pharmacia;ZYVOX;400mg;comp rev
Linezolida;Pharmacia;ZYVOX;600mg;comp rev
Lisinopril;Astrazeneca;ZESTRIL;10mg;comp
Lisinopril;Astrazeneca;ZESTRIL;20mg;comp
Lisinopril;Astrazeneca;ZESTRIL;5,0mg;comp
Lítio (carbonato);Eurofarma;CARBOLITIUM;300mg;comp
Lítio (carbonato);Eurofarma;CARBOLITIUM CR;450mg;comp ação prolong 
Lomefloxacino (cloridrato);Pfizer;MAXAQUIN;400mg;comp rev
Loperamida (cloridrato);Janssen Cilag;imOSEC;2mg;comp
Loratadina;Mantecorp;CLARITIN;10mg;comp
Loratadina;Mantecorp;CLARITIN;1mg/mL;xpe
Lorazepam;Wyeth;LORAX;2mg;comp
Lorazepam;Wyeth;LORAX;1mg;comp
Losartana potássica;Biosintética;CORUS;25mg;comp rev
Losartana potássica;Merck Sharp & Dohme;COZAAR;100mg;comp rev
Losartana potássica;Merck Sharp & Dohme;COZAAR;12,5mg;comp rev
Losartana potássica;Merck Sharp & Dohme;COZAAR;50mg;comp rev
Lovastatina;Sandoz;LOVASTATINA;10mg;comp
Lovastatina;Sandoz;LOVASTATINA;20mg;comp
Lovastatina;Sandoz;LOVASTATINA;40mg;comp
Magaldrato;Nycomed;RIOPAN;800mg;comp mast
Magaldrato;Nycomed;RIOPAN;80mg/mL;susp or
Mebendazol;Aché;NECAMIN;100mg;comp
Mebendazol;Janssen Cilag;PANTELMIN;500mg;comp
Mebendazol;Janssen Cilag;PANTELMIN;20mg/mL;susp or
Mebeverina (cloridrato);Solvay Farma;DUSPATALIN;200mg;caps lib prolong
Meclizina (cloridrato);Apsen;MECLIN;12,5mg;comp
Meclizina (cloridrato);Apsen;MECLIN;25mg;comp
Meclizina (cloridrato);Apsen;MECLIN;50mg;comp
Medroxiprogesterona (acetato);Pharmacia;DEPO-PROVERA;150mg/mL;susp inj
Medroxiprogesterona (acetato);Pharmacia;DEPO-PROVERA;50mg/mL;susp inj
Medroxiprogesterona (acetato);Pharmacia;PROVERA;10mg;comp
Medroxiprogesterona (acetato);Pharmacia;PROVERA;2,5mg;comp
Medroxiprogesterona (acetato);Pharmacia;PROVERA;5,0mg;comp
Mefenâmico, ácido;Pfizer;PONSTAN;500mg;comp
Megestrol (acetato);Bristol Myers Squibb;MEgESTAT;160mg;comp
Megestrol (acetato);Bristol Myers Squibb;MEgESTAT;40mg;comp
Megestrol (acetato);Bristol Myers Squibb;MEgESTAT;40mg/mL;susp or
Meglumina (antimoniato);Sanofi-Aventis;gLUCANTimE;300mg/mL;solç inj
Meloxicam;Boehringer Ingelheim;MOVATEC;10mg/mL;solç inj
Meloxicam;Boehringer Ingelheim;MOVATEC;15mg;comp
Meloxicam;Boehringer Ingelheim;MOVATEC;7,5mg;comp
Memantina (cloridrato);Lundbeck;EBIX;10mg;comp rev
Mepivacaína (cloridrato);Probem;MEPivALEM 3%;30mg/mL;solç inj
Mercaptopurina;glaxosmithkline;PURINETHOL;50mg;comp
Meropenem;Astrazeneca;MERONEM iv;1000mg;po solç inj
Meropenem;Astrazeneca;MERONEM iv;500mg;po solç inj
Meropenem;Eurofarma;MEROMAX;2g;po solç inj
Mesalazina;Nycomed;MESACOL;500mg;sups
Mesalazina;Nycomed;MESACOL;800mg;comp rev
Mesalazina;Ferring;PENTASA;1000mg;sups retal
Mesalazina;Ferring;PENTASA;500mg;comp lib prolong
Mesalazina;Ferring;PENTASA ENEMA;10mg/mL;enema retal
Mesalazina;Merck S/A;ASALIT;250mg;sups
Mesalazina;Merck S/A;ASALIT;3g;enema (po + diluente)
Mesalazina;Merck S/A;ASALIT;400mg;comp rev
Mesna;Asta Médica;MITEXAN;100mg/mL;solç inj
Mesna;Asta Médica;MITEXAN;400mg;comp rev
Mesna;Asta Médica;MITEXAN;600mg;comp rev
Metadona (cloridrato);Cristália;MYTEDOM;10mg;comp
Metadona (cloridrato);Cristália;MYTEDOM;10mg/mL;solç inj
Metadona (cloridrato);Cristália;MYTEDOM;5mg;comp
Metformina (cloridrato);Merck S/A;gLIFAgE;850mg;comp rev
Metformina (cloridrato);Merck S/A;gLIFAgE;1g;comp rev
Metformina (cloridrato);Merck S/A;gLIFAgE;500mg;comp rev
Metformina (cloridrato);Merck S/A;gLIFAgE XR;500mg;comp ação prolong
Metildopa;Merck Sharp & Dohme;ALDOMET;500mg;comp rev
Metildopa;Merck Sharp & Dohme;ALDOMET;250mg;comp rev
Metilergotamina (maletato);Novartis Biociências;METHERgIN;0,125mg;drag simples
Metilergotamina (maletato);Novartis Biociências;METHERgIN;0,2mg/mL;solç inj
Metilfenidato (cloridrato);Novartis Biociências;RITALINA;10mg;comp
Metilfenidato (cloridrato);Novartis Biociências;RITALINA LA;20mg;caps gelat dura + microgran lib prolong
Metilfenidato (cloridrato);Novartis Biociências;RITALINA LA;30 mg;caps gelat dura + microgran lib prolong
Metilfenidato (cloridrato);Novartis Biociências;RITALINA LA;40 mg;caps gelat dura + microgran lib prolong
Metilfenidato (cloridrato);Janssen Cilag;CONCERTA;18mg;comp rev lib prolong
Metilfenidato (cloridrato);Janssen Cilag;CONCERTA;36mg;comp rev lib prolong
Metilfenidato (cloridrato);Janssen Cilag;CONCERTA;54mg;comp rev lib prolong
Metilprednisolona (aceponato);Intendis;ADVANTAN;1mg/g;loç derm
Metilprednisolona (aceponato);Intendis;ADVANTAN;1mg/g;crem derm
Metilprednisolona (acetato);Pfizer;DEPO MEDROL;40mg/mL;susp inj
Metilprednisolona (succinato sódico);Pfizer;SOLU-MEDROL;1000mg;po liof inj
Metilprednisolona (succinato sódico);Pfizer;SOLU-MEDROL;125mg;po liof inj
Metilprednisolona (succinato sódico);Pfizer;SOLU-MEDROL;40mg;po liof inj
Metilprednisolona (succinato sódico);Pfizer;SOLU-MEDROL;500mg;po liof inj
Metoclopramida (cloridrato);Sanofi-Aventis;PLASIL;10mg;comp
Metoclopramida (cloridrato);Sanofi-Aventis;PLASIL;1mg/mL;solç or
Metoclopramida (cloridrato);Sanofi-Aventis;PLASIL;4mg/mL;solç or (gotas)
Metoclopramida (cloridrato);Sanofi-Aventis;PLASIL;5,0mg/mL;solç inj
Metoprolol (succinato);Astrazeneca;SELOZOK;100mg;comp lib control
Metoprolol (succinato);Astrazeneca;SELOZOK;25mg;comp lib control
Metoprolol (succinato);Astrazeneca;SELOZOK;50mg;comp lib control
Metoprolol (tartarato);Novartis Biociências;LOPRESSOR;100mg;comp rev
Metotrexato;Pfizer;MIANTREX CS;100mg/mL;solç inj
Metotrexato;Pfizer;MIANTREX CS;25mg/mL;solç inj
Metronidazol;Sanofi-Aventis;FLAgYL;400mg;comp rev
Metronidazol;Sanofi-Aventis;FLAgYL;250mg;comp rev
Metronidazol;Sanofi-Aventis;FLAgYL;5,0mg/mL;solç inj
Metronidazol;Sanofi-Aventis;FLAgYL gINECOLÓgICO;100mg/g;geleia vaginal
MICOFENOLATO DE MOFETILA;Roche;CELLCEPT;500mg;comp rev
MICOFENOLATO DE SÓDIO;Novartis Biociências;MYFORTIC;180mg;comp rev
MICOFENOLATO DE SÓDIO;Novartis Biociências;MYFORTIC;360mg;comp rev
Miconazol (nitrato);Janssen Cilag;DAKTARIN;20mg/g;gel or
Miconazol (nitrato);Janssen Cilag;DAKTARIN;20mg/g;loç cremosa
Miconazol (nitrato);Teuto;NITRATO DE MICONAZOL;20mg/g;crem vaginal
Miconazol (nitrato);União Química;VODOL;20mg/g;crem derm
Miconazol (nitrato);União Química;VODOL;20mg/g;loç
Miconazol (nitrato);União Química;VODOL;20mg/g;po top
Midazolam;Roche;DORMONID;1mg/mL;solç inj
Midazolam;Roche;DORMONID;5,0mg/mL;solç inj
Midazolam (maleato);Roche;DORMONID;15mg;comp rev
Midazolam (maleato);Roche;DORMONID;7,5mg;comp rev
Milrinona (lactato);Sanofi-Aventis;PRimACOR;1mg/mL;solç inj
Minoxidil;Pharmacia;LONITEN;10mg;comp
Minoxidil;Johnson & Johnson;REgAINE;20mg/mL;solç capilar
Minoxidil;Johnson & Johnson;REgAINE;50mg/mL;solç capilar
Mirtazapina;Organon;REMERON SOLTAB;15mg;comp orodisp
Mirtazapina;Organon;REMERON SOLTAB;30mg;comp orodisp
Mirtazapina;Organon;REMERON SOLTAB;45mg;comp orodisp
Mirtazapina;Sandoz;MIRTAZAPINA;30mg;comp ver
Mirtazapina;Sandoz;MIRTAZAPINA;45mg;comp rev
Mitomicina C;Bristol Myers Squibb;MITOCIN;0,5mg/mL;po liof 
Mitotano;Bristol Myers Squibb;LISODREN;500mg;comp rev
Mitoxantrona (cloridrato);Quiral;MITOSTATE;2mg/mL;solç inj
Moclobemida;Roche;AURORIX;150mg;comp rev
Moclobemida;Roche;AURORIX;300mg;comp rev
Modafilina;Libbs;STAVIgILE;200mg;comp
Mometasona (furoato);Mantecorp;ELOCOM;1mg/g;crem derm
Mometasona (furoato);Mantecorp;ELOCOM;1mg/g;pomd derm
Mometasona (furoato);Schering Plough;NASONEX;0,05mg/g;susp nas
Monoetanolamina (oleato);Zest;ETHAMOLIN;50mg/mL;solç inj
Montelucaste sódico;Merck Sharp & Dohme;SINgULAIR;10mg;comp rev
Montelucaste sódico;Merck Sharp & Dohme;SINgULAIR;4mg;comp mast
Montelucaste sódico;Merck Sharp & Dohme;SINgULAIR;5mg;comp mast
Montelucaste sódico;Merck Sharp & Dohme;SINgULAIR BABY;4mg;gran
Morfina (sulfato);Cristália;DimORF;0,2mg/mL;solç inj
Morfina (sulfato);Cristália;DimORF;10mg;comp
Morfina (sulfato);Cristália;DimORF;10mg/mL;solç inj
Morfina (sulfato);Cristália;DimORF;10mg/mL;solç or
Morfina (sulfato);Cristália;DimORF;1mg/mL;solç inj
Morfina (sulfato);Cristália;DimORF;30mg;comp
Morfina (sulfato);Cristália;DimORF LC;100mg;caps gelat lib retard
Morfina (sulfato);Cristália;DimORF LC;30mg;caps gelat lib retard
Morfina (sulfato);Cristália;DimORF LC;60mg;caps gelat lib retard
Moxifloxacino (cloridrato);Alcon;VIgAMOX;0,5mg/mL;solç oft
Moxifloxacino (cloridrato);Bayer;AVALOX;1,6mg/mL;solç infus endovenosa
Moxifloxacino (cloridrato);Bayer;AVALOX;400mg;comp rev
Mupirocina;glaxosmithkline;BACTROBAN;20mg/g;pomd derm
Nafazolina (cloridrato);Aché;SORINE;0,5mg;solç nas
Nalbufina (cloridrato);Cristália;NUBAIN;10mg/mL;solç inj
Naloxona (cloridrato);Cristália;NARCAN;0,4 mg/mL;solç inj
Naloxona (cloridrato);Cristália;NARCAN NEONATAL;0,02 mg/mL;solç inj
Naproxeno;Bayer;NAPROSYN;250mg;comp
Naproxeno;Bayer;NAPROSYN;500mg;comp
Naproxeno sódico;Roche;FLANAX;275mg;comp rev
Naproxeno sódico;Roche;FLANAX;550mg;comp rev
Nelfinavir (mesilato);Roche;VIRACEPT;250mg;comp
Nelfinavir (mesilato);Roche;VIRACEPT;50mg;po or
Neomicina (sulfato);Prati Donaduzzi;SULFATO DE NEOMICINA;5,0 mg/g (= 3,5mg/g Neomicina);pomd derm
Neostigmina (metilsulfato);Valeant;PROSTIgMINE;0,5mg/mL;solç inj
Nevirapina;Boehringer Ingelheim;VIRAMUNE;10mg/mL;susp or
Nevirapina;Boehringer Ingelheim;VIRAMUNE;200mg;comp
Nicotina;Johnson & Johnson;NICORETTE;2mg;goma de mascar
Nicotina;Johnson & Johnson;NICORETTE;4mg;goma de mascar
Nicotina;glaxosmithkline;NIQUITIN;7mg;ades trand
Nicotina;glaxosmithkline;NIQUITIN;14mg;ades trand
Nicotina;glaxosmithkline;NIQUITIN;21mg;ades trand
Nicotínico, ácido;Libbs;METRI;500mg;comp rev lib program
Nicotínico, ácido;Libbs;METRI;750mg;comp rev lib program
Nicotínico, ácido;Libbs;METRI;1000mg;comp rev lib program
Nifedipino;Bayer;ADALAT;10mg;caps gelat mole
Nifedipino;Bayer;ADALAT OROS;20mg;comp camada dupla
Nifedipino;Bayer;ADALAT OROS;30mg;comp camada dupla
Nifedipino;Bayer;ADALAT OROS;60mg;comp camada dupla
Nifedipino;Bayer;ADALAT retard;10mg;comp rev
Nifedipino;Bayer;ADALAT retard;20mg;comp rev
Nifedipino;Biosintética;OXCORD;10mg;comp
Nifedipino;Biosintética;OXCORD;20mg;comp
Nilutamida;Sanofi-Aventis;ANANDRON;50mg;comp
Nimesulida;Aché;NISULID;100mg;sups
Nimesulida;Aché;NISULID;100mg;comp
Nimesulida;Aché;NISULID;100mg;comp disp
Nimesulida;Aché;NISULID;100mg;gran
Nimesulida;Aché;NISULID;10mg/mL;susp or
Nimesulida;Aché;NISULID;20mg/g;gel
Nimesulida;Aché;NISULID;50mg;sups
Nimesulida;Aché;NISULID;50mg/mL;susp or
Nimodipino;Bayer;NimOTOP;0,2mg/mL;solç inj
Nimodipino;Bayer;NimOTOP;30mg;comp rev
Nistatina;Bristol Myers Squibb;MICOSTATIN;100.000U/g;crem vaginal
